Australie,Ryan McGowan,24,Chine,Shandong Luneng Taishan
Australie,Ben Halloran,21,Allemagne,Fortuna Düsseldorf
Australie,Dario Vidosic,27,Suisse,Sion
Australie,James Holland,25,Autriche,Autriche Wien
Australie,James Troisi,25,Italie,Atalanta
Australie,Mark Bresciano,34,Qatar,Al-Gharafa
Australie,Mark Milligan,28,Australie,Melbourne Victory
Australie,Massimo Luongo,21,Angleterre,Swindon Town
Australie,Matt McKay,31,Australie,Brisbane Roar
Australie,Mile Jedinak (c),29,Angleterre,Crystal Palace
Australie,Oliver Bozanic,25,Suisse,Luzern
Australie,Tommy Oar,22,Pays-Bas,Utrecht
Australie,Adam Taggart,21,Australie,Newcastle Jets
Australie,Mathew Leckie,23,Allemagne,FSV Frankfurt
Australie,Tim Cahill,34,Etats-Unis,New York Red Bulls
Argentine,Claudio Bravo (c),31,Espagne,Real Sociedad
Argentine,Cristopher Toselli,25,Chili,Universidad Catolica
Argentine,Johnny Herrera,33,Chili,Universidad de Chili
Argentine,Eugenio Mena,25,Bresil,Santos
Argentine,Gary Medel,26,Angleterre,Cardiff City
Argentine,Gonzalo Jara,28,Angleterre,Nottingham Forest
Argentine,Jose Rojas,31,Chili,Universidad de Chili
Argentine,Miiko Albornoz,23,Suede,Malmö FF
Argentine,Arturo Vidal,27,Italie,Juventus
Argentine,Carlos Carmona,27,Italie,Atalanta
Argentine,Charles Aranguiz,25,Bresil,Internacional
Argentine,Fabian Orellana,28,Espagne,Celta Vigo
Argentine,Felipe Gutierrez,23,Pays-Bas,Twente
Argentine,Francisco Silva,28,Espagne,Osasuna
Argentine,Jean Beausejour,30,Angleterre,Wigan Athletic
Argentine,Jorge Valdivia,30,Bresil,Palmeiras
Argentine,Jose Pedro Fuenzalida,29,Chili,Colo-Colo
Argentine,Marcelo Diaz,27,Suisse,Basel
Argentine,Mauricio Isla,25,Italie,Juventus
Argentine,Alexis Sanchez,25,Espagne,Barcelona
Argentine,Eduardo Vargas,24,Espagne,Valencia
Argentine,Esteban Paredes,33,Chili,Colo-Colo
Argentine,Mauricio Pinilla,30,Italie,Cagliari
Espagne,David de Gea,23,Angleterre,Manchester United
Espagne,Iker Casillas (c),33,Espagne,Real Madrid
Espagne,Pepe Reina,31,Italie,Napoli
Espagne,Cesar Azpilicueta,24,Angleterre,Chelsea
Espagne,Gerard Pique,27,Espagne,Barcelona
Espagne,Jordi Alba,25,Espagne,Barcelona
Espagne,Juanfran,29,Espagne,Atletico Madrid
Espagne,Raul Albiol,28,Italie,Napoli
Espagne,Sergio Ramos,28,Espagne,Real Madrid
